"Наименование циклов, разделов, дисциплин",Кафедра,"Лек., час","Сем., час","Лаб., час",Номер семестра,Форма аттестации
Иностранный язык,Л2,0,68,0,"1, 2",Зчт
Экономика и управление инновационными проектами,ИБМ3,34,0,0,1,Зчт
Автоматическая обработка текстов и семантические модели,ИУ9,34,0,34,1,Экз
Методология научного познания,СГН4,34,0,0,1,Зчт
Информационный поиск и извлечение информации из текстов,ИУ9,34,0,34,2,Экз
Молекулярное моделирование и молекулярное конструирование,ИУ9,34,0,68,2,Экз
Функциональное программирование,ИУ9,0,34,68,1,Экз
Структуры и алгоритмы обработки больших данных,ИУ9,0,34,34,2,Экз
Хранилища данных,ИУ9,0,34,34,3,Экз
Научно-исследовательский семинар,ИУ9,0,44,0,4,Зчт
Компьютерная алгебра,ИУ9,0,44,44,4,Экз
Распознавание образов,ИУ9,0,34,34,3,Экз
Машинное обучение,ИУ9,0,34,34,3,Экз
Основы метавычислений,ИУ9,34,0,34,3,Экз
Защита информации,ИУ9,34,0,34,3,Экз
Современные вычислительные методы,ИУ9,0,34,34,3,Экз
Теория игр и исследование операций,ИУ9,0,34,34,3,Экз
,,,,,,